,precision,recall,f1-score,support
0,0.9489130434782609,0.9825548677546426,0.9654409731821952,1777.0
1,0.7075471698113207,0.4437869822485207,0.5454545454545454,169.0
accuracy,0.9357656731757451,0.9357656731757451,0.9357656731757451,0.9357656731757451
macro avg,0.8282301066447908,0.7131709250015816,0.7554477593183704,1946.0
weighted avg,0.9279516700714198,0.9357656731757451,0.9289673317197221,1946.0
